Location	Source	Last observation date	Vaccines
Afghanistan	Government of Afghanistan	Apr. 22, 2021	Oxford/AstraZeneca
Albania	Ministry of Health	Apr. 30, 2021	Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V
Algeria	Ministry of Health	Feb. 19, 2021	Sputnik V
Andorra	Government of Andorra	Apr. 19, 2021	Oxford/AstraZeneca, Pfizer/BioNTech
Angola	Ministry of Health	Apr. 23, 2021	Oxford/AstraZeneca
Anguilla	Ministry of Health	Apr. 22, 2021	Oxford/AstraZeneca
Antigua and Barbuda	Ministry of Health	Apr. 22, 2021	Oxford/AstraZeneca
Argentina	Ministry of Health	May. 1, 2021	Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V
Armenia	Ministry of Health	Mar. 31, 2021	Sputnik V
Aruba	Government of Aruba	Apr. 30, 2021	Pfizer/BioNTech
Australia	Government of Australia via covidlive.com.au	May. 1, 2021	Oxford/AstraZeneca, Pfizer/BioNTech
Austria	Ministry of Health	May. 1, 2021	Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Azerbaijan	Government of Azerbaijan	May. 1, 2021	Sinovac
Bahamas	Government of the Bahamas	Apr. 27, 2021	Oxford/AstraZeneca
Bahrain	Ministry of Health	May. 1, 2021	Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V
Bangladesh	Directorate General of Health Services	Apr. 29, 2021	Oxford/AstraZeneca
Barbados	Ministry of Health	Apr. 29, 2021	Oxford/AstraZeneca
Belarus	Ministry of Health	Apr. 23, 2021	Sputnik V
Belgium	Sciensano	Apr. 30, 2021	Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Belize	Ministry of Health	Apr. 28, 2021	Oxford/AstraZeneca
Bermuda	Government of Bermuda	Apr. 26, 2021	Pfizer/BioNTech
Bhutan	Ministry of Health	Apr. 30, 2021	Oxford/AstraZeneca
Bolivia	Ministry of Health	Apr. 28, 2021	Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V
Bosnia and Herzegovina	Public Health Institute	Apr. 26, 2021	Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V
Botswana	Ministry of Health and Wellness	Apr. 23, 2021	Oxford/AstraZeneca
Brazil	Ministry of Health	May. 1, 2021	Oxford/AstraZeneca, Sinovac
Brunei	Ministry of Health	Apr. 23, 2021	Oxford/AstraZeneca
Bulgaria	Ministry of Health	May. 1, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Cambodia	Ministry of Health	May. 1, 2021	Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac
Cameroon	Medical Council	Apr. 12, 2021	Sinopharm/Beijing
Canada	Official data from provinces via covid19tracker.ca	May. 1, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Cape Verde	Government of Cape Verde	Mar. 24, 2021	Oxford/AstraZeneca
Cayman Islands	Cayman Islands Government	Apr. 30, 2021	Pfizer/BioNTech
Chile	Department of Statistics and Health Information	Apr. 30, 2021	Pfizer/BioNTech, Sinovac
China	National Health Commission	May. 1, 2021	Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac
Colombia	Ministry of Health	Apr. 30, 2021	Pfizer/BioNTech, Sinovac
Congo	Government of the Republic of Congo	Apr. 14, 2021	Sinopharm/Beijing, Sputnik V
Costa Rica	Costa Rican Social Security Fund	Apr. 26, 2021	Pfizer/BioNTech
Cote d’Ivoire	Ministry of Health and Public Hygiene	Apr. 30, 2021	Oxford/AstraZeneca
Croatia	Ministry of Health	Apr. 30, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Curacao	Government of Curacao	May. 1, 2021	Moderna, Pfizer/BioNTech
Cyprus	Government of Cyprus	Apr. 23, 2021	Pfizer/BioNTech
Czechia	Ministry of Health	May. 1, 2021	Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Democratic Republic of Congo	Ministry of Health	Apr. 25, 2021	Oxford/AstraZeneca
Denmark	Statens Serum Institute	Apr. 30, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Djibouti	Présidence de la République de Djibouti	Apr. 17, 2021	Oxford/AstraZeneca
Dominica	Government of Dominica	Apr. 28, 2021	Oxford/AstraZeneca
Dominican Republic	Ministry of Public Health	Apr. 30, 2021	Oxford/AstraZeneca, Sinovac
Ecuador	Government of Ecuador via Ecuacovid	Apr. 29, 2021	Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac
Egypt	Ministry of Health	Apr. 18, 2021	Oxford/AstraZeneca, Sinopharm/Beijing
